KO
AMZN
AAPL
FB
GOOGL
MSFT
TSLA
XOM
GE
IBM
MO
JNJ
GM
CVX
WMT
PG
BRK-A
BRK-B
WFC
DD
MRK
INTC
JPM
HD
PEP
PCG
FSLR
MUR
MOS
DVN
MRO
FLR
EQT
RRC
RIG
CHK
DPZ
ULTA
SLV
GME
AMC
^VXN
^DJI
^IXIC
^VXO
^VIX
